BibTex Key,Emotion Model Citation,Emotion Model,Engagement Citation,Engagement Concept
ferreira2024arcadia,Ryan 1982,Intrinsic Motivation Inventory,"Clark Corner Webster 2018, Ryan 1982","capturing attention, interact with, reflecting on"
klettner2025significance,,,,"capturing attention, interacting with"
romat2020dearpict,Brehmer & Munzner 2013,enjoyment in visualizing data,"Amini et al. 2018, Boy et al. 2015","capturing attention, interacting with, feeling motivated to use"
boy2017showing,"Batson 1987, Hoffman 2001","Empathy-altruism hypothesis, empathy-arousal",Borkin et al. 2013,"capturing attention, increasing memorability"
morais2022exploring,Batson 1987,Batson's empathic concern,,"looking at, interacting with, consuming, reflecting"
zhu2024reader,Hung & Parsons 2017,emotional engagement as empathy toward characters,"Amini et al. 2018, Busselle and Bilandzic 2009","feeling immersed, capturing attention, spending time with, empathizing"
lieske2014climate,,,Lieske 2012,"increasing awareness, taking action"
kaufmann2023environart,Wilce 2009,Sentiment analysis (proxy for emotional measurement),,"capturing attention, interacting with, spending time with, learning, decision-making"
zamil2025ccgame,Oinas-Kukkonen & Harjumaa 2009,Persuasive System Design (PSD) Model,,"capturing attention, showing interest, interacting with, sense-making"
garreton2023attitudinal,Watson et al. 1988,"I-PANAS-SF Elaboration Likelihood Model (ELM) (Petty & Cacioppo) - persuasion plays an important role together with emotions (Petty & Brinol - emotion and persuasion). For change of attitude to be lasting, it needs to be accompanied fby formation of a satisfactory memory (info retention)",Petty & Briñol 2015,Elaboration Likelihood Model
edgeley2024wildfire,,,,"capturing attention, interacting with, receptivity"
zou2025campus,Relph 2008,"emotional resonance as personal involvement (""locality"" theory)",,"sense-making, increasing memorability, reflecting, increasing personal involvement"
ehmel2021topography,,,Valkanova et al. 2013,"capturing attention, spending time with, sense-making, reflecting on, actively interacting with; allowing different viewers to determine their own level of engagement and interaction with visualizations based on interest"
knoll2025gulf,,,,"capturing attention, spending time with, sense-making, interpreting"
jain2025strolly,,,"Georgiou & Kyza 2017, Jain 2023","engagement as narrative immersion, a psychological process where the user becomes deeply involved in an experience both cognitively and emotionally; this view of immersion aligns with the goal of immersive data storytelling, which aims to tell ""visually engaging data stories in an immersive environment... and is the definition we focus on."" capturing attention, spending time with, interacting with"
markant2026sectarianism,,,"Borkin, Yang","capturing attention, sense-making, learning from, increasing memorability"
strain2025scatter,,positive and negative emotional valence,,"capturing attention, spending time with, sense-making, feeling motivated to use"
wei2025atthepeak,Plutchik 1980,Wheel of Emotions,,"capturing attention, showing interest; engagement metrics (likes and comments online)"
